,人口増加率,高齢者割合増加率,area,従業員増減率
0,76.02035026667171,-1.0808468865155234,中央,-5.1780788284059565
1,-11.48376324274528,16.82779646243513,住之江,0.10962508221881166
2,-5.079603429070791,12.685889134574053,住吉,-4.2005630306120185
3,44.661761437411535,3.3797405956718354,北,4.01296937936797
4,5.848441808004011,11.17508505136902,城東,-5.07267977065105
5,-16.882304904812944,16.90458039287744,大正,-12.946698534281683
6,3.410823998115601,10.78838410703741,大阪市,-2.066292421622371
7,36.17629605653558,4.299972550066665,天王寺,-3.562986702243362
8,-1.9560621472306985,15.683127885706726,平野,-0.3843289140473708
9,-10.626341463414635,12.753664969083538,旭,-8.850638921862998
10,-10.709311614951183,12.659042895281427,東住吉,-3.483772084256747
11,2.3204125177809387,8.354851271693235,東成,-7.750539932758889
12,-5.594010681381803,12.585203950021873,東淀川,-10.567694684045193
13,-2.7331494695676284,12.28049407836962,此花,16.85095707117636
14,42.0259761410366,3.5580429763147556,浪速,-3.5866976945556877
15,8.751280690276628,10.26279919654794,淀川,0.5048423002035859
16,-8.368425167826466,13.626126779735978,港,-4.052143172779496
17,-12.798199248346966,14.385750496875122,生野,-9.44973925552958
18,31.540360046457604,3.7052148550577595,福島,0.6720664458146428
19,57.531444933019735,2.7879441952999198,西,-7.127467947585915
20,-21.125281108784694,19.05776753148148,西成,-0.8683300112264302
21,4.7797748370531306,10.795812949526303,西淀川,-0.16752785402874212
22,6.815237900963843,10.788694401173387,都島,-8.70084381467919
23,4.74244061000652,7.179132667904035,阿倍野,15.902705899748632
24,14.016332287440084,10.799480200310777,鶴見,-6.34568995224733
