year,東成区,生野区,旭区,城東区,鶴見区,住之江区,住吉区,東住吉区,平野区,東淀川区,阿倍野区,淀川区,西成区,浪速区,大阪市,北区,都島区,福島区,此花区,西淀川区,西区,港区,大正区,天王寺区,中央区
1997,78121,147314,102010,155627,98761,138931,162756,140980,200866,185205,102509,161444,140170,49053,2596023,86701,97909,54665,67495,90744,59326,89015,77353,56047,53021
1998,78340,145833,101048,156602,99517,138153,162108,140245,201296,184654,103082,160969,138957,49903,2592477,87580,97815,54836,66449,91491,59383,88408,76534,56319,52955
1999,78574,144936,100478,157157,100383,137290,161600,140075,202079,184876,103095,161411,137941,49798,2593408,89133,96954,54892,65961,91711,60626,88267,75999,56756,53416
2000,78729,143362,99760,156989,101234,135834,161082,139909,201810,184049,103268,162544,136866,49969,2593851,90935,97237,55293,65372,91883,62560,87392,75439,58039,54296
2001,78582,142311,98809,157885,102687,135205,160912,139006,201807,183201,104201,163303,136648,50485,2598864,92266,97401,56115,64914,92659,63925,87000,74779,59019,55744
2002,78498,141092,98226,158602,103729,134371,160842,138447,202215,182821,105041,165367,136777,51556,2608804,93435,98350,56543,64899,93560,65951,86017,74011,59932,58522
2003,78501,140608,97653,158856,103963,133290,160676,137587,201802,181912,105904,166962,136289,52281,2613675,95103,98682,57524,64477,94255,67720,85048,73652,60831,60099
2004,78839,139977,96701,159617,105901,131816,160121,136709,201162,180341,106105,167635,135596,52977,2618916,96820,99062,58642,64533,94841,69528,83915,73977,61601,62500
2005,78825,139061,95614,160163,107186,131631,159351,135207,200720,179147,107035,167888,133716,53274,2622879,98262,100062,59679,64146,95553,71480,83290,73540,63086,64963
2006,78959,138079,94809,160796,107589,130377,159000,134434,200686,177808,106983,169550,131714,54825,2629043,101461,99708,61213,63811,95597,73356,83083,73019,64598,67588
2007,79276,136752,94491,161848,107697,129652,157996,133971,200531,177151,107069,170024,128893,56758,2635379,103251,100769,61849,64272,96426,75611,83880,72329,65076,69807
2008,79213,135772,93987,163601,109605,128643,157174,133251,200393,177277,107129,169795,127154,58100,2643151,104622,101881,63118,64444,96716,77654,84261,71513,66030,71818
2009,79334,134976,93262,165044,110718,127635,156548,132341,200459,177185,106980,170722,125273,59339,2651781,106606,101638,64923,64808,96938,80173,84635,70875,67480,73889
2010,79846,134379,92583,165751,111094,127357,155879,131232,200223,176691,106404,171891,123348,60691,2660505,108485,102360,66267,65463,97541,81694,85073,70080,69356,76817
2011,80042,133494,92378,165455,111066,126955,155223,130257,199785,176215,106187,171811,121037,62088,2663098,110952,102852,67554,65654,97431,83639,84719,69169,70027,79108
2012,80520,132459,91988,165060,111414,126132,155126,129160,199276,176608,106231,172405,119211,63451,2668054,113189,103021,69106,66279,97150,85202,83969,68292,71395,81410
2013,80569,131972,91944,164558,111451,125603,154683,128134,198940,176854,106363,173449,117538,65093,2673891,115162,104169,70413,66574,96631,86677,83206,67336,72869,83703
2014,80479,130928,91770,163719,111413,124513,154077,127289,197814,176146,107156,174153,115247,66499,2675373,118230,104264,71455,66691,96016,88083,82301,66510,73902,86718
2015,80208,130272,91514,164147,111246,123594,153898,126586,197155,175321,107362,174976,113030,68103,2680203,121320,104487,71886,66504,95457,90133,82179,65574,74968,90283
2016,80507,129709,91442,164958,111484,122591,153695,126138,196336,175464,108063,176210,111267,70648,2692845,124749,104831,72706,66517,95357,93275,81915,64828,76390,93765
