area,事業所増減,従業員増減,事業所増減率,従業員増減率,area
大阪市,-12506.0,-48896.0,-5.999779314050499,-2.066292421622371,大阪市
北,159.0,17674.0,0.5607476635514018,4.01296937936797,北
都島,-538.0,-4372.0,-8.97863818424566,-8.70084381467919,都島
福島,-391.0,424.0,-6.899594141521087,0.6720664458146428,福島
此花,-274.0,7254.0,-8.815958815958815,16.85095707117636,此花
中央,226.0,-28682.0,0.6672965631274359,-5.1780788284059565,中央
西,-1275.0,-12108.0,-9.863840321831967,-7.127467947585915,西
港,-522.0,-1834.0,-10.70110701107011,-4.052143172779496,港
大正,-466.0,-4496.0,-11.638361638361639,-12.946698534281683,大正
天王寺,-358.0,-2457.0,-5.219419740486952,-3.562986702243362,天王寺
浪速,-300.0,-2651.0,-4.823151125401929,-3.5866976945556877,浪速
西淀川,-198.0,-83.0,-4.187817258883249,-0.16752785402874212,西淀川
淀川,-623.0,796.0,-4.700822455293141,0.5048423002035859,淀川
東淀川,-654.0,-6089.0,-10.380952380952381,-10.567694684045193,東淀川
東成,-947.0,-3481.0,-15.598748146928019,-7.750539932758889,東成
生野,-1638.0,-5255.0,-16.72964967827597,-9.44973925552958,生野
旭,-455.0,-2535.0,-10.68075117370892,-8.850638921862998,旭
城東,-1045.0,-2893.0,-14.631755810697284,-5.07267977065105,城東
鶴見,-443.0,-2578.0,-9.649313874972773,-6.34568995224733,鶴見
阿倍野,202.0,8604.0,3.3949579831932772,15.902705899748632,阿倍野
住之江,-421.0,80.0,-6.9300411522633745,0.10962508221881166,住之江
住吉,-633.0,-1895.0,-9.940326633165828,-4.2005630306120185,住吉
東住吉,-639.0,-1682.0,-9.431734317343174,-3.483772084256747,東住吉
平野,-550.0,-258.0,-6.332757628094416,-0.3843289140473708,平野
西成,-723.0,-379.0,-10.996197718631178,-0.8683300112264302,西成
