,area,amount,spread,spread%,type
0,総数,2317468,-48896,-2.066292421622371,従業員
1,北,458096,17674,4.01296937936797,従業員
2,都島,45876,-4372,-8.70084381467919,従業員
3,福島,63513,424,0.6720664458146428,従業員
4,此花,50302,7254,16.85095707117636,従業員
5,中央,525230,-28682,-5.1780788284059565,従業員
6,西,157770,-12108,-7.127467947585915,従業員
7,港,43426,-1834,-4.052143172779496,従業員
8,大正,30231,-4496,-12.946698534281683,従業員
9,天王寺,66502,-2457,-3.562986702243362,従業員
10,浪速,71261,-2651,-3.5866976945556877,従業員
11,西淀川,49461,-83,-0.16752785402874212,従業員
12,淀川,158469,796,0.5048423002035859,従業員
13,東淀川,51530,-6089,-10.567694684045193,従業員
14,東成,41432,-3481,-7.750539932758889,従業員
15,生野,50355,-5255,-9.44973925552958,従業員
16,旭,26107,-2535,-8.850638921862998,従業員
17,城東,54138,-2893,-5.07267977065105,従業員
18,鶴見,38048,-2578,-6.34568995224733,従業員
19,阿倍野,62708,8604,15.902705899748632,従業員
20,住之江,73056,80,0.10962508221881166,従業員
21,住吉,43218,-1895,-4.2005630306120185,従業員
22,東住吉,46599,-1682,-3.483772084256747,従業員
23,平野,66872,-258,-0.3843289140473708,従業員
24,西成,43268,-379,-0.8683300112264302,従業員
0,総数,195935,-12506,-5.999779314050499,事業所
1,北,28514,159,0.5607476635514018,事業所
2,都島,5454,-538,-8.97863818424566,事業所
3,福島,5276,-391,-6.899594141521087,事業所
4,此花,2834,-274,-8.815958815958815,事業所
5,中央,34094,226,0.6672965631274359,事業所
6,西,11651,-1275,-9.863840321831967,事業所
7,港,4356,-522,-10.70110701107011,事業所
8,大正,3538,-466,-11.638361638361639,事業所
9,天王寺,6501,-358,-5.219419740486952,事業所
10,浪速,5920,-300,-4.823151125401929,事業所
11,西淀川,4530,-198,-4.187817258883249,事業所
12,淀川,12630,-623,-4.700822455293141,事業所
13,東淀川,5646,-654,-10.380952380952381,事業所
14,東成,5124,-947,-15.598748146928019,事業所
15,生野,8153,-1638,-16.72964967827597,事業所
16,旭,3805,-455,-10.68075117370892,事業所
17,城東,6097,-1045,-14.631755810697284,事業所
18,鶴見,4148,-443,-9.649313874972773,事業所
19,阿倍野,6152,202,3.3949579831932772,事業所
20,住之江,5654,-421,-6.9300411522633745,事業所
21,住吉,5735,-633,-9.940326633165828,事業所
22,東住吉,6136,-639,-9.431734317343174,事業所
23,平野,8135,-550,-6.332757628094416,事業所
24,西成,5852,-723,-10.996197718631178,事業所
